SubstanzId;TypOfSYST_TypSubstanz;Bezeichnung;SYST_TypSubstanzATC_Code;SYST_TypSubstanzATC_Version;SYSTId
42f416f1-b761-4e0a-bf96-040ed364e827;Bezeichnung;Methotrexat;;;9f1cce4d-d867-4434-8522-970daab78c33
5734d069-5be6-4261-ae69-925e59e4269f;Bezeichnung;Atezolizumab;;;95064dd4-fc68-4d18-bd1a-a3e1e8b08229
ca38efe3-735a-4977-b25a-e9d9b49d78d8;Bezeichnung;Filgrastim;;;fe1aef7e-8ac8-4d63-9142-09f62899bd94
c12a0ce6-e052-4536-9abd-c38db1c0a5dd;Bezeichnung;Bevacizumab;;;aa81e497-1146-4c68-83d0-a07eff04a77b
ad112032-9d4c-49a5-8d96-867c8ecb4f4a;Bezeichnung;Fulvestrant;;;aa81e497-1146-4c68-83d0-a07eff04a77b
e76e2327-9fa4-4c4d-8cc7-bc9a03f0f928;Bezeichnung;Herceptin;;;bd07cce0-63c8-49e2-ac10-a2e4012bf184
75e6c3b5-0c4e-4de9-8238-138c9995d1be;Bezeichnung;Herceptin;;;bd07cce0-63c8-49e2-ac10-a2e4012bf184
f106c90e-9f95-4508-86e7-b463bac06089;Code;;V06DC02;2023;11527114-909a-4132-bb85-e39b6808c906
c27ac86f-fc76-4f5a-a3bf-d943b8de58d7;Code;;N05CX11;2023;11527114-909a-4132-bb85-e39b6808c906
08a9a29e-cdbe-41f8-826f-ae99b86a58a7;Code;;G03AB05;2019;38114f9e-6f7c-45f8-894d-873dc9955fe5
15967a25-9323-4f0a-8539-a2a281a58d20;Bezeichnung;Abirateron;;;38114f9e-6f7c-45f8-894d-873dc9955fe5
0cba0797-ef05-4cd6-bc29-5b1bfaf3c747;Code;;N02CX64;2019;38114f9e-6f7c-45f8-894d-873dc9955fe5
4f4f0be5-b8f8-4024-854c-be43586f4096;Bezeichnung;Doxorubicin;;;2fe6313e-fd90-4718-b099-0262ad5fed3e
c1257eb2-f313-4f00-a8a1-790910e2407a;Code;;C03BA11;2019;14ce8db0-062a-43aa-87f5-7f859ee1189e
2a95c938-9bb4-40f4-b0cf-a5b6e8c4fac4;Code;;J01CA06;2019;14ce8db0-062a-43aa-87f5-7f859ee1189e
eb922ce9-c87f-49eb-a094-3318fc9ff16a;Code;;P02DX02;2020;14ce8db0-062a-43aa-87f5-7f859ee1189e
c14b4c5e-c595-4884-b9c1-7cdc543e678d;Code;;N05AD10;2022;7c8d43a8-b8cd-4569-b1c8-1e43b5752e61
0c46bf0c-c4d5-4015-868c-d450c8c582b2;Code;;J01AA07;2019;60fd4df7-a090-41a8-afce-05b051aaa343
fdc35b78-98f1-45ef-9511-cf9594d40bb0;Code;;D11AB14;2021;bdc48d9b-6167-4dae-841d-0ccb7ad74d9c
22a8cde5-dc9f-44f8-98c0-e2172d46003b;Code;;D08AJ02;2023;bdc48d9b-6167-4dae-841d-0ccb7ad74d9c
63d7d9c1-484c-411d-b63b-ce1d32548084;Bezeichnung;Panitumumab;;;bdc48d9b-6167-4dae-841d-0ccb7ad74d9c
d6e83d84-5029-48ab-bc45-6a4abf5fd6a9;Bezeichnung;Ipilimumab;;;33d23c11-a365-4edb-9635-343ca1d5e479
0fe3edfc-6e95-438a-bc54-e7356fdb6886;Code;;V04CM02;2019;33d23c11-a365-4edb-9635-343ca1d5e479
4bb350e2-fbde-4a87-b485-35a588da06c9;Code;;N02AJ02;2022;33d23c11-a365-4edb-9635-343ca1d5e479
b4c02b24-0136-4f68-941c-f49086537fab;Bezeichnung;Prednisolon;;;106720cb-deca-46fc-a1be-90025d527836
71171989-246a-46a7-b7f3-d188498ed1c5;Bezeichnung;Fludarabin;;;106720cb-deca-46fc-a1be-90025d527836
f2e7aa5f-efc8-4312-8111-0e031e988157;Bezeichnung;Bleomycin;;;106720cb-deca-46fc-a1be-90025d527836
6a5eb92a-27fe-4e72-8830-ab495760ab43;Bezeichnung;Fludarabinphosphat;;;002c9f72-cd06-4924-945c-91c47717e0b3
58081a46-4b60-4849-9998-2c664c8cfa04;Bezeichnung;Thiotepa;;;002c9f72-cd06-4924-945c-91c47717e0b3
d5f6d9c8-5cc7-4482-9917-b1769500492e;Bezeichnung;Decitabin;;;002c9f72-cd06-4924-945c-91c47717e0b3
e16c7c76-8cf2-40ee-a62b-5da59fe6f9d5;Code;;C03AA01;2018;402b5f63-cfc5-497f-a0cf-667f89e04d9d
894b28ad-3503-407f-89e9-c90fd058c9d2;Bezeichnung;Pertuzumab;;;402b5f63-cfc5-497f-a0cf-667f89e04d9d
476a27ab-dad1-4e32-b16e-1e1894b0875f;Code;;D07BB06;2022;6e895b0d-8e6f-41f4-b27f-72f3fd31e9ad
5a9329fa-5802-4780-afa5-23ab9352d973;Code;;D05AA02;2021;2b6b8b38-099d-4eb6-be7d-3a851e1d7205
e8a935e9-3cdf-4c9c-a86d-17e9a442894d;Code;;N04BC01;2021;c2ff9cc1-515d-48d0-8e39-acc9e7e20fd2
211dfb03-1dff-4842-95bb-0f1e6bbefd7e;Code;;J01EE03;2019;e1847f1d-5bfe-47c8-89fc-6409561dfd87
7f40de5f-8a1d-4719-bbd4-6bc0c88fd482;Bezeichnung;Midostaurin;;;e1847f1d-5bfe-47c8-89fc-6409561dfd87
a653d558-c6e3-4551-9572-986dbf722ef1;Code;;A01AB26;2023;e1847f1d-5bfe-47c8-89fc-6409561dfd87
10a61f3a-3c10-4a77-b986-1e762a96e39f;Bezeichnung;Folinsäure;;;d7688d62-1919-40dc-844c-7fd435e50a97
4be58c62-23f3-46ba-854f-af8e5dcb6a11;Bezeichnung;Anastrozol;;;d7688d62-1919-40dc-844c-7fd435e50a97
750927ff-a8d5-43f6-b155-b17dcc159dba;Code;;N03AE01;2020;daf7e0b9-a955-4379-8384-af5bcb251f4e
219ab153-c644-41ba-9d24-9180e3c9aa02;Code;;N06BX54;2023;b3f7fde9-b82f-4631-9e5c-8e230a6c03d6
0cbbf760-31c4-416c-8cbe-61fd667294c4;Code;;L01EB01;2019;05f3a081-fcfb-46e5-bd62-a9cd3090a3d9
458b4dc7-d865-4f3f-a6a4-04c4b6698355;Bezeichnung;Zoledronsäure;;;cdc05d00-28fe-49d8-beaa-8dc4374346a0
5f6c5845-85ef-4992-84fe-5ca62ec9001e;Code;;C10AB10;2022;ac3568e6-b505-4fcf-9148-0dbd45cdd4ba
6a15b7cd-0430-47e3-9d5f-308c6c2476d8;Bezeichnung;Trastuzumab;;;ac3568e6-b505-4fcf-9148-0dbd45cdd4ba
