id	code	id3	chapter	name
A00	A00	A00	1	Cholera
A000	A00.0	A00	1	Cholera durch Vibrio cholerae O:1, Biovar cholerae
A001	A00.1	A00	1	Cholera durch Vibrio cholerae O:1, Biovar eltor
A009	A00.9	A00	1	Cholera, nicht näher bezeichnet
A01	A01	A00	1	Typhus abdominalis und Paratyphus
A010	A01.0	A00	1	Typhus abdominalis
A011	A01.1	A00	1	Paratyphus A
A012	A01.2	A00	1	Paratyphus B
A013	A01.3	A00	1	Paratyphus C
A014	A01.4	A00	1	Paratyphus, nicht näher bezeichnet
A02	A02	A00	1	Sonstige Salmonelleninfektionen
A020	A02.0	A00	1	Salmonellenenteritis
A021	A02.1	A00	1	Salmonellensepsis
A022	A02.2	A00	1	Lokalisierte Salmonelleninfektionen
A028	A02.8	A00	1	Sonstige näher bezeichnete Salmonelleninfektionen
A029	A02.9	A00	1	Salmonelleninfektion, nicht näher bezeichnet
A03	A03	A00	1	Shigellose [Bakterielle Ruhr]
A030	A03.0	A00	1	Shigellose durch Shigella dysenteriae
A031	A03.1	A00	1	Shigellose durch Shigella flexneri
A032	A03.2	A00	1	Shigellose durch Shigella boydii
A033	A03.3	A00	1	Shigellose durch Shigella sonnei
A038	A03.8	A00	1	Sonstige Shigellosen
A039	A03.9	A00	1	Shigellose, nicht näher bezeichnet
A04	A04	A00	1	Sonstige bakterielle Darminfektionen
A040	A04.0	A00	1	Darminfektion durch enteropathogene Escherichia coli
A041	A04.1	A00	1	Darminfektion durch enterotoxinbildende Escherichia coli
A042	A04.2	A00	1	Darminfektion durch enteroinvasive Escherichia coli
A043	A04.3	A00	1	Darminfektion durch enterohämorrhagische Escherichia coli
A044	A04.4	A00	1	Sonstige Darminfektionen durch Escherichia coli
A045	A04.5	A00	1	Enteritis durch Campylobacter
A046	A04.6	A00	1	Enteritis durch Yersinia enterocolitica
A047	A04.7	A00	1	Enterokolitis durch Clostridium difficile
A0479	A04.79	A00	1	Enterokolitis durch Clostridium difficile, nicht näher bezeichnet
A048	A04.8	A00	1	Sonstige näher bezeichnete bakterielle Darminfektionen
A049	A04.9	A00	1	Bakterielle Darminfektion, nicht näher bezeichnet
A0470	A04.70	A00	1	Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen
A0471	A04.71	A00	1	Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen
A0472	A04.72	A00	1	Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen
A0473	A04.73	A00	1	Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen
A05	A05	A00	1	Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A050	A05.0	A00	1	Lebensmittelvergiftung durch Staphylokokken
A051	A05.1	A00	1	Botulismus
A052	A05.2	A00	1	Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
A053	A05.3	A00	1	Lebensmittelvergiftung durch Vibrio parahaemolyticus
A054	A05.4	A00	1	Lebensmittelvergiftung durch Bacillus cereus
A058	A05.8	A00	1	Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
A059	A05.9	A00	1	Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet
A06	A06	A00	1	Amöbiasis
A060	A06.0	A00	1	Akute Amöbenruhr
A061	A06.1	A00	1	Chronische intestinale Amöbiasis
A062	A06.2	A00	1	Nichtdysenterische Kolitis durch Amöben
A063	A06.3	A00	1	Amöbom des Darmes
A064	A06.4	A00	1	Leberabszess durch Amöben
A065	A06.5	A00	1	Lungenabszess durch Amöben
A066	A06.6	A00	1	Hirnabszess durch Amöben
A067	A06.7	A00	1	Amöbiasis der Haut
A068	A06.8	A00	1	Amöbeninfektion an sonstigen Lokalisationen
A069	A06.9	A00	1	Amöbiasis, nicht näher bezeichnet
A07	A07	A00	1	Sonstige Darmkrankheiten durch Protozoen
A070	A07.0	A00	1	Balantidiose
A071	A07.1	A00	1	Giardiasis [Lambliasis]
A072	A07.2	A00	1	Kryptosporidiose
A073	A07.3	A00	1	Isosporose
A078	A07.8	A00	1	Sonstige näher bezeichnete Darmkrankheiten durch Protozoen
A079	A07.9	A00	1	Darmkrankheit durch Protozoen, nicht näher bezeichnet
A08	A08	A00	1	Virusbedingte und sonstige näher bezeichnete Darminfektionen
A080	A08.0	A00	1	Enteritis durch Rotaviren
A081	A08.1	A00	1	Akute Gastroenteritis durch Norovirus
A082	A08.2	A00	1	Enteritis durch Adenoviren
A083	A08.3	A00	1	Enteritis durch sonstige Viren
A084	A08.4	A00	1	Virusbedingte Darminfektion, nicht näher bezeichnet
A085	A08.5	A00	1	Sonstige näher bezeichnete Darminfektionen
A09	A09	A00	1	Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A090	A09.0	A00	1	Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs
A099	A09.9	A00	1	Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
A15	A15	A15	1	Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A150	A15.0	A15	1	Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren
A151	A15.1	A15	1	Lungentuberkulose, nur durch Kultur gesichert
A152	A15.2	A15	1	Lungentuberkulose, histologisch gesichert
A153	A15.3	A15	1	Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert
A154	A15.4	A15	1	Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert
A155	A15.5	A15	1	Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert
A156	A15.6	A15	1	Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert
A16	A16	A15	1	Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A17	A17	A15	1	Tuberkulose des Nervensystems
A170	A17.0	A15	1	Tuberkulöse Meningitis
A171	A17.1	A15	1	Meningeales Tuberkulom
A178	A17.8	A15	1	Sonstige Tuberkulose des Nervensystems
A157	A15.7	A15	1	Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A158	A15.8	A15	1	Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A159	A15.9	A15	1	Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A160	A16.0	A15	1	Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A161	A16.1	A15	1	Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt
A162	A16.2	A15	1	Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A163	A16.3	A15	1	Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A164	A16.4	A15	1	Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A165	A16.5	A15	1	Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A167	A16.7	A15	1	Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A168	A16.8	A15	1	Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A169	A16.9	A15	1	Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A179	A17.9	A15	1	Tuberkulose des Nervensystems, nicht näher bezeichnet
A18	A18	A15	1	Tuberkulose sonstiger Organe
A180	A18.0	A15	1	Tuberkulose der Knochen und Gelenke
A181	A18.1	A15	1	Tuberkulose des Urogenitalsystems
A182	A18.2	A15	1	Tuberkulose peripherer Lymphknoten
A183	A18.3	A15	1	Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten
A184	A18.4	A15	1	Tuberkulose der Haut und des Unterhautgewebes
A185	A18.5	A15	1	Tuberkulose des Auges
A186	A18.6	A15	1	Tuberkulose des Ohres
A187	A18.7	A15	1	Tuberkulose der Nebennieren
A188	A18.8	A15	1	Tuberkulose sonstiger näher bezeichneter Organe
A19	A19	A15	1	Miliartuberkulose
A190	A19.0	A15	1	Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation
A191	A19.1	A15	1	Akute Miliartuberkulose mehrerer Lokalisationen
A192	A19.2	A15	1	Akute Miliartuberkulose, nicht näher bezeichnet
A198	A19.8	A15	1	Sonstige Miliartuberkulose
A199	A19.9	A15	1	Miliartuberkulose, nicht näher bezeichnet
A20	A20	A20	1	Pest
A200	A20.0	A20	1	Bubonenpest
A201	A20.1	A20	1	Hautpest
A202	A20.2	A20	1	Lungenpest
A203	A20.3	A20	1	Pestmeningitis
A207	A20.7	A20	1	Pestsepsis
A208	A20.8	A20	1	Sonstige Formen der Pest
A209	A20.9	A20	1	Pest, nicht näher bezeichnet
A21	A21	A20	1	Tularämie
A210	A21.0	A20	1	Ulzeroglanduläre Tularämie
A211	A21.1	A20	1	Okuloglanduläre Tularämie
A212	A21.2	A20	1	Pulmonale Tularämie
A213	A21.3	A20	1	Gastrointestinale Tularämie
A217	A21.7	A20	1	Generalisierte Tularämie
A218	A21.8	A20	1	Sonstige Formen der Tularämie
A219	A21.9	A20	1	Tularämie, nicht näher bezeichnet
A22	A22	A20	1	Anthrax [Milzbrand]
A220	A22.0	A20	1	Hautmilzbrand
A221	A22.1	A20	1	Lungenmilzbrand
A222	A22.2	A20	1	Darmmilzbrand
A227	A22.7	A20	1	Milzbrandsepsis
A228	A22.8	A20	1	Sonstige Formen des Milzbrandes
A229	A22.9	A20	1	Milzbrand, nicht näher bezeichnet
A23	A23	A20	1	Brucellose
A230	A23.0	A20	1	Brucellose durch Brucella melitensis
A231	A23.1	A20	1	Brucellose durch Brucella abortus
A232	A23.2	A20	1	Brucellose durch Brucella suis
A233	A23.3	A20	1	Brucellose durch Brucella canis
A238	A23.8	A20	1	Sonstige Brucellose
A239	A23.9	A20	1	Brucellose, nicht näher bezeichnet
A24	A24	A20	1	Rotz [Malleus] und Melioidose [Pseudorotz]
A240	A24.0	A20	1	Rotz
A241	A24.1	A20	1	Akute oder fulminante Melioidose
A242	A24.2	A20	1	Subakute oder chronische Melioidose
A243	A24.3	A20	1	Sonstige Melioidose
A244	A24.4	A20	1	Melioidose, nicht näher bezeichnet
A25	A25	A20	1	Rattenbisskrankheiten
A250	A25.0	A20	1	Spirillen-Rattenbisskrankheit
A251	A25.1	A20	1	Streptobazillen-Rattenbisskrankheit
A259	A25.9	A20	1	Rattenbisskrankheit, nicht näher bezeichnet
A26	A26	A20	1	Erysipeloid
A260	A26.0	A20	1	Haut-Erysipeloid
A267	A26.7	A20	1	Erysipelothrix-Sepsis
A268	A26.8	A20	1	Sonstige Formen des Erysipeloids
A269	A26.9	A20	1	Erysipeloid, nicht näher bezeichnet
A27	A27	A20	1	Leptospirose
A270	A27.0	A20	1	Leptospirosis icterohaemorrhagica [Weil-Krankheit]
A278	A27.8	A20	1	Sonstige Formen der Leptospirose
A279	A27.9	A20	1	Leptospirose, nicht näher bezeichnet
A28	A28	A20	1	Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A280	A28.0	A20	1	Pasteurellose
A281	A28.1	A20	1	Katzenkratzkrankheit
A282	A28.2	A20	1	Extraintestinale Yersiniose
A288	A28.8	A20	1	Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert
A289	A28.9	A20	1	Bakterielle Zoonose, nicht näher bezeichnet
A30	A30	A30	1	Lepra [Aussatz]
A300	A30.0	A30	1	Indeterminierte Lepra
A301	A30.1	A30	1	Tuberkuloide Lepra
A302	A30.2	A30	1	Borderline-tuberkuloide Lepra
A303	A30.3	A30	1	Borderline-Lepra
A304	A30.4	A30	1	Borderline-lepromatöse Lepra
A305	A30.5	A30	1	Lepromatöse Lepra
A308	A30.8	A30	1	Sonstige Formen der Lepra
A309	A30.9	A30	1	Lepra, nicht näher bezeichnet
A31	A31	A30	1	Infektion durch sonstige Mykobakterien
A310	A31.0	A30	1	Infektion der Lunge durch sonstige Mykobakterien
A311	A31.1	A30	1	Infektion der Haut durch sonstige Mykobakterien
A318	A31.8	A30	1	Sonstige Infektionen durch Mykobakterien
A3180	A31.80	A30	1	Disseminierte atypische Mykobakteriose
A3188	A31.88	A30	1	Sonstige Infektionen durch Mykobakterien
A319	A31.9	A30	1	Infektion durch Mykobakterien, nicht näher bezeichnet
A32	A32	A30	1	Listeriose
A320	A32.0	A30	1	Kutane Listeriose
A321	A32.1	A30	1	Meningitis und Meningoenzephalitis durch Listerien
A327	A32.7	A30	1	Listeriensepsis
A328	A32.8	A30	1	Sonstige Formen der Listeriose
A329	A32.9	A30	1	Listeriose, nicht näher bezeichnet
A33	A33	A30	1	Tetanus neonatorum
A34	A34	A30	1	Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes
A35	A35	A30	1	Sonstiger Tetanus
A36	A36	A30	1	Diphtherie
A360	A36.0	A30	1	Rachendiphtherie
A361	A36.1	A30	1	Nasenrachendiphtherie
A362	A36.2	A30	1	Kehlkopfdiphtherie
A363	A36.3	A30	1	Hautdiphtherie
A368	A36.8	A30	1	Sonstige Diphtherie
A369	A36.9	A30	1	Diphtherie, nicht näher bezeichnet
A37	A37	A30	1	Keuchhusten
A370	A37.0	A30	1	Keuchhusten durch Bordetella pertussis
A371	A37.1	A30	1	Keuchhusten durch Bordetella parapertussis
A378	A37.8	A30	1	Keuchhusten durch sonstige Bordetella-Spezies
A379	A37.9	A30	1	Keuchhusten, nicht näher bezeichnet
A38	A38	A30	1	Scharlach
A39	A39	A30	1	Meningokokkeninfektion
