code	dignität	name	histologie	group
8000/0	0	Benigne Neoplasie o.n.A.	8000	17
8000/1	1	Neoplasie fraglicher Dignität	8000	17
8000/2	2	Neoplasie, in-situ	8000	17
8000/3	3	Maligne Neoplasie	8000	17
8000/6	6	Neoplasie, Metastase	8000	17
8000/9	9	Maligne Neoplasie, unsicher ob Primärtumor oder Metastase	8000	17
8001/0	0	Benigne Tumorzellen	8001	17
8001/1	1	Tumorzellen fraglicher Dignität	8001	17
8001/2	2	Maligne Tumorzellen, in-situ	8001	17
8001/3	3	Maligne Tumorzellen	8001	17
8001/6	6		8001	17
8001/9	9		8001	17
8002/0	0		8002	17
8002/1	1		8002	17
8002/2	2		8002	17
8002/3	3	Kleinzelliger maligner Tumor	8002	17
8002/6	6		8002	17
8002/9	9		8002	17
8003/0	0		8003	17
8003/1	1		8003	17
8003/2	2		8003	17
8003/3	3	Riesenzelliger maligner Tumor	8003	17
8003/6	6		8003	17
8003/9	9		8003	17
8004/0	0		8004	17
8004/1	1	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8004	17
8004/2	2		8004	17
8004/3	3	Spindelzelliger maligner Tumor	8004	17
8004/6	6		8004	17
8004/9	9		8004	17
8005/0	0	Klarzelliger Tumor o.n.A.	8005	17
8005/1	1		8005	17
8005/2	2		8005	17
8005/3	3	Klarzelliger maligner Tumor	8005	17
8005/6	6		8005	17
8005/9	9		8005	17
8010/0	0	Benigne epitheliale Neoplasie	8010	05
8010/1	1	Karzinom o.n.A., unsicherer Charakter	8010	05
8010/2	2	Carcinoma in situ o.n.A.	8010	05
8010/3	3	Karzinom o.n.A.	8010	05
8010/6	6	Karzinom-Metastase o.n.A.	8010	05
8010/9	9	Karzinomatose	8010	05
8011/0	0	Benignes Epitheliom	8011	05
8011/1	1		8011	05
8011/2	2		8011	05
8011/3	3	Malignes Epitheliom	8011	05
8011/6	6		8011	05
8011/9	9		8011	05
8012/0	0		8012	05
8012/1	1		8012	05
8012/2	2	Großzelliges Karzinom o.n.A., in-situ	8012	05
8012/3	3	Großzelliges Karzinom o.n.A.	8012	05
8012/6	6		8012	05
8012/9	9		8012	05
8013/0	0		8013	05
8013/1	1		8013	05
8013/2	2		8013	05
8013/3	3	Großzelliges neuroendokrines Karzinom	8013	05
8013/6	6		8013	05
8013/9	9		8013	05
8014/0	0		8014	05
8014/1	1		8014	05
8014/2	2		8014	05
8014/3	3	Großzelliges Karzinom mit rhabdoidem Phänotyp	8014	05
8014/6	6		8014	05
8014/9	9		8014	05
8015/0	0		8015	05
8015/1	1		8015	05
8015/2	2		8015	05
8015/3	3	Glaszellkarzinom	8015	05
8015/6	6		8015	05
8015/9	9		8015	05
8020/0	0		8020	05
8020/1	1		8020	05
8020/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8020	05
8020/3	3	Undifferenziertes Karzinom o.n.A.	8020	05
8020/6	6		8020	05
8020/9	9		8020	05
8021/0	0		8021	05
8021/1	1		8021	05
8021/2	2		8021	05
8021/3	3	Anaplastisches Karzinom o.n.A.	8021	05
8021/6	6		8021	05
8021/9	9		8021	05
8022/0	0		8022	05
8022/1	1		8022	05
8022/2	2	Pleomorphes Karzinom, in-situ	8022	05
8022/3	3	Pleomorphes Karzinom	8022	05
8022/6	6		8022	05
8022/9	9		8022	05
8023/3	3		8023	04
8023/6	6		8023	04
8030/0	0		8030	04
8030/1	1		8030	04
8030/2	2		8030	04
8030/3	3	Riesenzell- und Spindelzellkarzinom	8030	04
8030/6	6		8030	04
8030/9	9		8030	04
8031/0	0		8031	04
8031/1	1		8031	04
8031/2	2		8031	04
8031/3	3	Riesenzellkarzinom	8031	04
8031/6	6		8031	04
8031/9	9		8031	04
8032/0	0		8032	04
8032/1	1		8032	04
8032/2	2		8032	04
8032/3	3	Spindelzellkarzinom o.n.A.	8032	04
8032/6	6		8032	04
8032/9	9		8032	04
8033/0	0		8033	04
8033/1	1		8033	04
8033/2	2		8033	04
8033/3	3	Pseudosarkomatöses Karzinom	8033	04
8033/6	6		8033	04
8033/9	9		8033	04
8034/0	0		8034	04
8034/1	1		8034	04
8034/2	2		8034	04
8034/3	3	Polygonalzelliges Karzinom	8034	04
8034/6	6		8034	04
8034/9	9		8034	04
8035/0	0		8035	04
8035/1	1		8035	04
8035/2	2		8035	04
8035/3	3	Karzinom mit osteoklastenähnlichen Riesenzellen	8035	04
8035/6	6		8035	04
8035/9	9		8035	04
8040/0	0	Benignes Tumorlet	8040	04
8040/1	1	Tumorlet o.n.A.	8040	04
8040/2	2		8040	04
8040/3	3	Tumorlet o.n.A., bösartig	8040	04
8040/6	6		8040	04
8040/9	9		8040	04
8041/0	0		8041	04
8041/1	1		8041	04
8041/2	2	kleinzelliges Karzinom,  in-situ	8041	04
8041/3	3	Kleinzelliges Karzinom o.n.A.	8041	04
8041/6	6		8041	04
8041/9	9		8041	04
8042/0	0		8042	04
8042/1	1		8042	04
8042/2	2		8042	04
8042/3	3	Haferzell-Karzinom  C34.-	8042	04
8042/6	6		8042	04
8042/9	9		8042	04
8043/0	0		8043	04
8043/1	1		8043	04
8043/2	2		8043	04
8043/3	3	Kleinzelliges spindelzelliges Karzinom	8043	04
8043/6	6		8043	04
8043/9	9		8043	04
8044/0	0		8044	04
8044/1	1		8044	04
8044/2	2		8044	04
8044/3	3	Kleinzelliges Karzinom vom Intermediärtyp	8044	04
8044/6	6		8044	04
8044/9	9		8044	04
8045/0	0		8045	04
8045/1	1		8045	04
8045/2	2		8045	04
8045/3	3	Kombiniertes kleinzelliges Karzinom	8045	04
8045/6	6		8045	04
8045/9	9		8045	04
8046/0	0		8046	04
8046/1	1		8046	04
8046/2	2		8046	04
8046/3	3	Nichtkleinzelliges Karzinom C34.-	8046	04
8046/6	6		8046	04
8046/9	9		8046	04
8050/0	0	Papillom o.n.A.   Exkl. Papillom der Blase  8120/1	8050	05
8050/1	1		8050	05
8050/2	2	Papilläres Carcinoma in situ	8050	05
8050/3	3	Papilläres Karzinom o.n.A.	8050	05
8050/6	6		8050	05
8050/9	9		8050	05
8051/0	0	Verruköses Papillom	8051	01
8051/1	1	Verruköses Karzinom o.n.A., unsicherer Charakter	8051	01
8051/2	2	Verruköses Karzinom o.n.A., in-situ	8051	01
8051/3	3	Verruköses Karzinom o.n.A.	8051	01
8051/6	6		8051	01
8051/9	9		8051	01
8052/0	0	Plattenepithelpapillom o.n.A.	8052	01
8052/1	1		8052	01
8052/2	2	Nichtinvasives papilläres Plattenepithelkarzinom	8052	01
8052/3	3	Papilläres Plattenepithelkarzinom	8052	01
8052/6	6		8052	01
8052/9	9		8052	01
8053/0	0	Invertiertes Plattenepithel-Papillom	8053	01
8053/1	1		8053	01
8053/2	2		8053	01
8053/3	3		8053	01
8053/6	6		8053	01
8053/9	9		8053	01
8054/0	0		8054	01
8054/1	1		8054	01
8054/2	2		8054	01
8054/3	3		8054	01
8054/6	6		8054	01
8054/9	9		8054	01
8060/0	0	Plattenepithel-Papillomatose	8060	01
8060/1	1		8060	01
8060/2	2		8060	01
8060/3	3		8060	01
8060/6	6		8060	01
8060/9	9		8060	01
8070/0	0		8070	01
8070/1	1	Plattenepithelkarzinom o.n.A., unsicherer Charakter	8070	01
8070/2	2	Plattenepithel-Carcinoma in situ o.n.A.	8070	01
8070/3	3	Plattenepithelkarzinom o.n.A.	8070	01
8070/6	6	Plattenepithelkarzinom-Metastase o.n.A.	8070	01
8070/9	9		8070	01
8071/0	0		8071	01
8071/1	1	verhornendes Plattenepithelkarzinom, unsicherer Charakter	8071	01
8071/2	2	verhornendes Plattenepithelkarzinom, in-situ	8071	01
8071/3	3	Verhornendes Plattenepithelkarzinom o.n.A.	8071	01
8071/6	6		8071	01
8071/9	9		8071	01
8072/0	0		8072	01
8072/1	1		8072	01
8072/2	2	Großzelliges nichtverhornendes Plattenepithelkarzinom o.n.A., in-situ	8072	01
8072/3	3	Großzelliges nichtverhornendes Plattenepithelkarzinom o.n.A.	8072	01
8072/6	6		8072	01
8072/9	9		8072	01
8073/0	0		8073	01
8073/1	1		8073	01
8073/2	2		8073	01
8073/3	3	Kleinzelliges nichtverhornendes Plattenepithelkarzinom	8073	01
8073/6	6		8073	01
8073/9	9		8073	01
8074/0	0		8074	01
8074/1	1		8074	01
8074/2	2	Spindelzelliges Plattenepithelkarzinom, in-situ	8074	01
8074/3	3	Spindelzelliges Plattenepithelkarzinom	8074	01
8074/6	6		8074	01
8074/9	9		8074	01
8075/0	0		8075	01
8075/1	1		8075	01
8075/2	2	Adenoides Plattenepithelkarzinom, in-situ	8075	01
8075/3	3	Adenoides Plattenepithelkarzinom	8075	01
8075/6	6		8075	01
8075/9	9		8075	01
8076/0	0		8076	01
8076/1	1		8076	01
8076/2	2	Plattenepithel-Carcinoma in situ mit fraglicher Stromainvasion	8076	01
8076/3	3	Mikroinvasives Plattenepithelkarzinom	8076	01
8076/6	6		8076	01
8076/9	9		8076	01
8077/0	0		8077	01
