Code;Name
10 2004 GM;ICD 10 Version 2004 GM
10 2004 WHO;ICD 10 Version 2004 WHO
10 2005 GM;ICD 10 Version 2005 GM
10 2005 WHO;ICD 10 Version 2005 WHO
10 2006 GM;ICD 10 Version 2006 GM
10 2006 WHO;ICD 10 Version 2006 WHO (gültig bis 2010)
10 2007 GM;ICD 10 Version 2007 GM
10 2008 GM;ICD 10 Version 2008 GM
10 2009 GM;ICD 10 Version 2009 GM
10 2010 GM;ICD 10 Version 2010 GM
10 2011 GM;ICD 10 Version 2011 GM
10 2011 WHO;ICD 10 Version 2011 WHO (gültig bis 2012)
10 2012 GM;ICD 10 Version 2012 GM
10 2013 GM;ICD 10 Version 2013 GM
10 2013 WHO;ICD 10 Version 2013 WHO (gültig bis 2015)
10 2014 GM;ICD 10 Version 2014 GM
10 2015 GM;ICD 10 Version 2015 GM
10 2016 GM;ICD 10 Version 2016 GM
10 2016 WHO;ICD 10 Version 2016 WHO (gültig bis 2018)
10 2017 GM;ICD 10 Version 2017 GM
10 2018 GM;ICD 10 Version 2018 GM
10 2019 GM;ICD 10 Version 2019 GM
10 2019 WHO;ICD 10 Version 2019 WHO (letzte Version, wird nur noch in Ausnahmefällen aktualisiert)
10 2020 GM;ICD 10 Version 2020 GM
10 2021 GM;ICD 10 Version 2021 GM
10 2022 GM;ICD 10 Version 2022 GM
10 2023 GM;ICD 10 Version 2023 GM
Sonstige;Falls andere bzw. ältere Versionen verwendet werden
