code;name;rb_id;ro_id;isValid
00000;Unbekannter Landkreis;000;0;0
01001;Flensburg;010;102;1
01002;Kiel;010;101;1
01003;Lübeck;010;103;1
01004;Neumünster;010;101;1
01051;Dithmarschen;010;105;1
01053;Herzogtum Lauenburg;010;104;1
01054;Nordfriesland;010;102;1
01055;Ostholstein;010;103;1
01056;Pinneberg;010;104;1
01057;Plön;010;101;1
01058;Rendsburg-Eckernförde;010;101;1
01059;Schleswig-Flensburg;010;102;1
01060;Segeberg;010;104;1
01061;Steinburg;010;105;1
01062;Stormarn;010;104;1
01099;Schleswig-Holstein unbekannter Landkreis;;;0
02000;Hamburg;020;201;1
02099;Hamburg unbekannter Landkreis;;201;0
03099;Niedersachsen unbekannter Landkreis;;;0
03101;Braunschweig;030;301;1
03102;Salzgitter;030;301;1
03103;Wolfsburg;030;301;1
03151;Gifhorn;030;301;1
03152;Göttingen;030;305;1
03153;Goslar;030;301;1
03154;Helmstedt;030;301;1
03155;Northeim;030;305;1
03156;Osterode am Harz;030;305;1
03157;Peine;030;301;1
03158;Wolfenbüttel;030;301;1
03159;Göttingen;030;305;1
03241;Region Hannover;030;307;1
03251;Diepholz;030;302;1
03252;Hameln-Pyrmont;030;308;1
03254;Hildesheim;030;308;1
03255;Holzminden;030;305;1
03256;Nienburg (Weser);030;307;1
03257;Schaumburg;030;307;1
03351;Celle;030;313;1
03352;Cuxhaven;030;303;1
03353;Harburg;030;306;1
03354;Lüchow-Dannenberg;030;309;1
03355;Lüneburg;030;309;1
03356;Osterholz;030;302;1
03357;Rotenburg (Wümme);030;306;1
03358;Soltau-Fallingbostel;030;313;1
03359;Stade;030;306;1
03360;Uelzen;030;309;1
03361;Verden;030;302;1
03401;Delmenhorst;030;302;1
03402;Emden;030;312;1
03403;Oldenburg (Oldenburg);030;310;1
03404;Osnabrück;030;311;1
03405;Wilhelmshaven;030;312;1
03451;Ammerland;030;310;1
03452;Aurich;030;312;1
03453;Cloppenburg;030;310;1
03454;Emsland;030;304;1
03455;Friesland;030;312;1
03456;Grafschaft Bentheim;030;304;1
03457;Leer;030;312;1
03458;Oldenburg;030;310;1
03459;Osnabrück;030;311;1
03460;Vechta;030;311;1
03461;Wesermarsch;030;303;1
03462;Wittmund;030;312;1
04011;Bremen;040;401;1
04012;Bremerhaven;040;303;1
04099;Bremen unbekannter Landkreis;;;0
05099;Nordrhein-Westfalen unbekannter Landkreis;;;0
05111;Düsseldorf;051;508;1
05112;Duisburg;051;507;1
05113;Essen;051;507;1
05114;Krefeld;051;508;1
